Temperature,Lysozyme 0mgml in PBS buffer,Lysozyme 10mgml in PBS buffer,Lysozyme 20mgml in PBS buffer
43.579,-0.354365,-0.347843,-0.343884
43.587,-0.354365,-0.347842,-0.343885
43.595,-0.354365,-0.347841,-0.343887
43.604,-0.354366,-0.347839,-0.343888
43.612,-0.354367,-0.347838,-0.34389
43.62,-0.354368,-0.347837,-0.34389
43.629,-0.354369,-0.347837,-0.343891
43.637,-0.354371,-0.347836,-0.343891
43.645,-0.354372,-0.347835,-0.343891
43.654,-0.354373,-0.347834,-0.343891
43.662,-0.354374,-0.347834,-0.34389
43.67,-0.354374,-0.347834,-0.34389
43.678,-0.354374,-0.347834,-0.34389
43.687,-0.354374,-0.347834,-0.343891
43.695,-0.354374,-0.347835,-0.343893
43.704,-0.354374,-0.347835,-0.343894
43.712,-0.354374,-0.347836,-0.343895
43.72,-0.354373,-0.347837,-0.343896
43.729,-0.354374,-0.347838,-0.343898
43.737,-0.354373,-0.347838,-0.343899
43.745,-0.354373,-0.347838,-0.343901
43.754,-0.354374,-0.347839,-0.343902
43.762,-0.354375,-0.347839,-0.343903
43.77,-0.354376,-0.34784,-0.343904
43.779,-0.354377,-0.34784,-0.343905
43.787,-0.354379,-0.347841,-0.343907
43.795,-0.35438,-0.347841,-0.343909
43.804,-0.354382,-0.347842,-0.34391
43.812,-0.354383,-0.347841,-0.343912
43.82,-0.354385,-0.347841,-0.343913
43.829,-0.354386,-0.347841,-0.343915
43.837,-0.354386,-0.34784,-0.343916
43.845,-0.354386,-0.34784,-0.343917
43.854,-0.354385,-0.347839,-0.343917
43.862,-0.354385,-0.347839,-0.343917
43.87,-0.354383,-0.347839,-0.343917
43.878,-0.354383,-0.347839,-0.343917
43.887,-0.354384,-0.347839,-0.343917
43.895,-0.354384,-0.34784,-0.343916
43.904,-0.354385,-0.34784,-0.343916
43.912,-0.354386,-0.34784,-0.343916
43.92,-0.354387,-0.34784,-0.343917
43.929,-0.354388,-0.347839,-0.343918
43.937,-0.354389,-0.347839,-0.343918
43.945,-0.35439,-0.34784,-0.343919
43.954,-0.354391,-0.34784,-0.343921
43.962,-0.354393,-0.347841,-0.343922
43.971,-0.354395,-0.347841,-0.343922
43.979,-0.354396,-0.347842,-0.343922
43.987,-0.354397,-0.347843,-0.343923
43.996,-0.354398,-0.347845,-0.343925
44.004,-0.354399,-0.347845,-0.343927
44.012,-0.3544,-0.347846,-0.343928
44.02,-0.354401,-0.347846,-0.34393
44.029,-0.354402,-0.347845,-0.343931
44.037,-0.354404,-0.347844,-0.343932
44.045,-0.354405,-0.347844,-0.343933
44.054,-0.354407,-0.347843,-0.343934
44.062,-0.354409,-0.347842,-0.343935
44.07,-0.35441,-0.347843,-0.343936
44.079,-0.354411,-0.347843,-0.343936
44.087,-0.354412,-0.347844,-0.343935
44.096,-0.354412,-0.347844,-0.343936
44.104,-0.354412,-0.347844,-0.343937
44.112,-0.354412,-0.347843,-0.343938
44.12,-0.354411,-0.347843,-0.343939
44.129,-0.354411,-0.347843,-0.343941
44.137,-0.354411,-0.347845,-0.343942
44.146,-0.354411,-0.347846,-0.343944
44.154,-0.354412,-0.347848,-0.343946
44.162,-0.354413,-0.347849,-0.343948
44.171,-0.354414,-0.347849,-0.343949
44.179,-0.354415,-0.34785,-0.34395
44.187,-0.354417,-0.347851,-0.34395
44.196,-0.354418,-0.347852,-0.343951
44.204,-0.354419,-0.347853,-0.343951
44.213,-0.354419,-0.347854,-0.34395
44.221,-0.35442,-0.347855,-0.343948
44.229,-0.354421,-0.347855,-0.343948
44.237,-0.354422,-0.347856,-0.343948
44.246,-0.354424,-0.347856,-0.343948
44.254,-0.354425,-0.347857,-0.343948
44.262,-0.354426,-0.347858,-0.343948
44.271,-0.354427,-0.347858,-0.343949
44.279,-0.354428,-0.347858,-0.343949
44.287,-0.354429,-0.347859,-0.343949
44.296,-0.35443,-0.347859,-0.343949
44.304,-0.354432,-0.34786,-0.343948
44.313,-0.354434,-0.347861,-0.343949
44.321,-0.354436,-0.347862,-0.34395
44.329,-0.354438,-0.347863,-0.343951
44.338,-0.354439,-0.347864,-0.343952
44.346,-0.354441,-0.347865,-0.343952
44.354,-0.354443,-0.347866,-0.343953
44.362,-0.354444,-0.347866,-0.343953
44.371,-0.354445,-0.347867,-0.343953
44.379,-0.354446,-0.347866,-0.343953
44.388,-0.354447,-0.347866,-0.343952
44.396,-0.354448,-0.347864,-0.343952
44.404,-0.354448,-0.347864,-0.343952
44.412,-0.354449,-0.347863,-0.343952
44.421,-0.354449,-0.347862,-0.343951
44.429,-0.35445,-0.347862,-0.343951
44.437,-0.35445,-0.347862,-0.343951
44.446,-0.35445,-0.347863,-0.343952
44.454,-0.35445,-0.347863,-0.343952
44.462,-0.35445,-0.347864,-0.343953
44.471,-0.354451,-0.347865,-0.343953
44.479,-0.354453,-0.347864,-0.343954
44.488,-0.354455,-0.347864,-0.343956
44.496,-0.354457,-0.347864,-0.343957
44.504,-0.354458,-0.347864,-0.343957
44.513,-0.354458,-0.347864,-0.343958
44.521,-0.354459,-0.347865,-0.343958
44.529,-0.35446,-0.347866,-0.343959
44.538,-0.35446,-0.347868,-0.34396
44.546,-0.35446,-0.347868,-0.343961
44.555,-0.35446,-0.347868,-0.343962
44.563,-0.354461,-0.347868,-0.343962
44.571,-0.354461,-0.347867,-0.343963
44.58,-0.354462,-0.347866,-0.343963
44.588,-0.354463,-0.347865,-0.343963
44.596,-0.354464,-0.347865,-0.343962
44.605,-0.354464,-0.347865,-0.343962
44.613,-0.354464,-0.347866,-0.343961
44.621,-0.354464,-0.347867,-0.343961
44.63,-0.354464,-0.347868,-0.343961
44.637,-0.354464,-0.347868,-0.343961
44.646,-0.354465,-0.347868,-0.343962
44.654,-0.354465,-0.347868,-0.343962
44.663,-0.354466,-0.347867,-0.343962
44.671,-0.354467,-0.347866,-0.343962
44.68,-0.354468,-0.347866,-0.343962
44.688,-0.354469,-0.347866,-0.343961
44.696,-0.354471,-0.347866,-0.343961
44.705,-0.354472,-0.347865,-0.343961
44.713,-0.354474,-0.347865,-0.343961
44.721,-0.354476,-0.347866,-0.343961
44.73,-0.354478,-0.347866,-0.343962
44.738,-0.35448,-0.347866,-0.343965
44.746,-0.354481,-0.347866,-0.343967
44.754,-0.354482,-0.347867,-0.34397
44.763,-0.354483,-0.347867,-0.343972
44.771,-0.354484,-0.347867,-0.343975
44.779,-0.354485,-0.347868,-0.343977
44.788,-0.354487,-0.347868,-0.343979
44.796,-0.354487,-0.347867,-0.34398
44.805,-0.354489,-0.347867,-0.343979
44.813,-0.354489,-0.347866,-0.343978
44.821,-0.35449,-0.347865,-0.343975
44.83,-0.35449,-0.347865,-0.343973
44.838,-0.354489,-0.347864,-0.343971
44.846,-0.354488,-0.347864,-0.34397
44.855,-0.354487,-0.347865,-0.343969
44.863,-0.354487,-0.347865,-0.343968
44.871,-0.354487,-0.347866,-0.343968
44.88,-0.354488,-0.347867,-0.343968
44.888,-0.354489,-0.347867,-0.343969
44.896,-0.35449,-0.347868,-0.343969
44.905,-0.354491,-0.347869,-0.343969
44.913,-0.354493,-0.347869,-0.34397
44.921,-0.354494,-0.34787,-0.34397
44.929,-0.354495,-0.34787,-0.343969
44.938,-0.354495,-0.347869,-0.34397
44.946,-0.354495,-0.34787,-0.343971
44.955,-0.354496,-0.347871,-0.343973
44.963,-0.354497,-0.347872,-0.343973
44.971,-0.354497,-0.347873,-0.343972
44.98,-0.354498,-0.347873,-0.343971
44.988,-0.354499,-0.347873,-0.34397
44.996,-0.354499,-0.347872,-0.343969
45.005,-0.354499,-0.347873,-0.343967
45.013,-0.3545,-0.347873,-0.343965
45.021,-0.3545,-0.347874,-0.343964
45.03,-0.3545,-0.347874,-0.343964
45.038,-0.354501,-0.347876,-0.343964
45.046,-0.354502,-0.347877,-0.343964
45.055,-0.354503,-0.347879,-0.343964
45.063,-0.354504,-0.34788,-0.343965
45.072,-0.354505,-0.347881,-0.343966
45.08,-0.354506,-0.347882,-0.343967
45.088,-0.354507,-0.347881,-0.343968
45.096,-0.354508,-0.34788,-0.343968
45.105,-0.354508,-0.347879,-0.343968
45.113,-0.354509,-0.347878,-0.343969
45.122,-0.354511,-0.347877,-0.343969
45.13,-0.354511,-0.347878,-0.343969
45.138,-0.354512,-0.347879,-0.343969
45.147,-0.354513,-0.34788,-0.343969
45.155,-0.354513,-0.347881,-0.343969
45.163,-0.354514,-0.347882,-0.343969
45.171,-0.354514,-0.347882,-0.343969
45.18,-0.354515,-0.347882,-0.343967
45.188,-0.354516,-0.347882,-0.343966
45.197,-0.354517,-0.347882,-0.343965
45.205,-0.354518,-0.347882,-0.343963
45.213,-0.354519,-0.347883,-0.343963
45.222,-0.354519,-0.347885,-0.343963
45.23,-0.354518,-0.347887,-0.343962
45.238,-0.354517,-0.347889,-0.343963
45.247,-0.354517,-0.34789,-0.343965
45.255,-0.354517,-0.347891,-0.343968
45.263,-0.354516,-0.347892,-0.34397
45.271,-0.354516,-0.347893,-0.343972
45.28,-0.354517,-0.347893,-0.343973
45.288,-0.354519,-0.347892,-0.343975
45.297,-0.354522,-0.347892,-0.343975
45.305,-0.354524,-0.347892,-0.343976
45.313,-0.354525,-0.347892,-0.343977
45.322,-0.354526,-0.347893,-0.343976
45.33,-0.354527,-0.347893,-0.343976
45.338,-0.354527,-0.347894,-0.343975
45.347,-0.354528,-0.347895,-0.343976
45.355,-0.354527,-0.347895,-0.343975
45.363,-0.354527,-0.347896,-0.343975
45.372,-0.354527,-0.347895,-0.343974
45.38,-0.354528,-0.347895,-0.343973
45.388,-0.354529,-0.347895,-0.343972
45.397,-0.354529,-0.347895,-0.343971
45.405,-0.35453,-0.347895,-0.343971
45.413,-0.354531,-0.347896,-0.343971
