Q,scan1,scan2,scan3,scan1,scan2,scan3
67.03172,-15.00712,-14.86499,-15.23516,-15.00712,-14.86499,-15.23516
67.44643,-15.02855,-14.8557,-15.26443,-15.02855,-14.8557,-15.26443
67.86254,-15.04531,-14.85044,-15.28021,-15.04531,-14.85044,-15.28021
68.28066,-15.07628,-14.84392,-15.28463,-15.07628,-14.84392,-15.28463
68.69902,-15.08729,-14.83613,-15.28806,-15.08729,-14.83613,-15.28806
69.11357,-15.09118,-14.80752,-15.29157,-15.09118,-14.80752,-15.29157
69.52746,-15.09911,-14.79452,-15.30473,-15.09911,-14.79452,-15.30473
69.94531,-15.12675,-14.7787,-15.29981,-15.12675,-14.7787,-15.29981
70.36119,-15.15564,-14.77822,-15.31177,-15.15564,-14.77822,-15.31177
70.77728,-15.17165,-14.76774,-15.32278,-15.17165,-14.76774,-15.32278
71.19477,-15.19449,-14.73812,-15.33778,-15.19449,-14.73812,-15.33778
71.61239,-15.22194,-14.72644,-15.35766,-15.22194,-14.72644,-15.35766
72.02686,-15.23966,-14.72275,-15.3827,-15.23966,-14.72275,-15.3827
72.44012,-15.2403,-14.71693,-15.39596,-15.2403,-14.71693,-15.39596
72.85817,-15.25003,-14.72595,-15.39275,-15.25003,-14.72595,-15.39275
73.27484,-15.26151,-14.72186,-15.40572,-15.26151,-14.72186,-15.40572
73.69193,-15.27136,-14.71478,-15.43275,-15.27136,-14.71478,-15.43275
74.10528,-15.29825,-14.72575,-15.46525,-15.29825,-14.72575,-15.46525
74.51955,-15.31687,-14.7242,-15.49837,-15.31687,-14.7242,-15.49837
74.93803,-15.33274,-14.70877,-15.5464,-15.33274,-14.70877,-15.5464
75.35568,-15.3594,-14.74643,-15.58234,-15.3594,-14.74643,-15.58234
75.77372,-15.37037,-14.78433,-15.58188,-15.37037,-14.78433,-15.58188
76.18982,-15.39439,-14.80338,-15.60361,-15.39439,-14.80338,-15.60361
76.60786,-15.42543,-14.80973,-15.63397,-15.42543,-14.80973,-15.63397
77.02059,-15.4327,-14.82417,-15.65141,-15.4327,-14.82417,-15.65141
77.43698,-15.45227,-14.85844,-15.65795,-15.45227,-14.85844,-15.65795
77.85466,-15.50825,-14.88762,-15.64704,-15.50825,-14.88762,-15.64704
78.27324,-15.59139,-14.91406,-15.66124,-15.59139,-14.91406,-15.66124
78.68928,-15.69509,-14.94011,-15.72745,-15.69509,-14.94011,-15.72745
79.10445,-15.80216,-14.96413,-15.75647,-15.80216,-14.96413,-15.75647
79.51863,-15.92076,-14.9873,-15.77944,-15.92076,-14.9873,-15.77944
79.93541,-16.04346,-15.03411,-15.839,-16.04346,-15.03411,-15.839
80.35604,-16.14752,-15.08483,-15.92631,-16.14752,-15.08483,-15.92631
80.77543,-16.26032,-15.16694,-16.04033,-16.26032,-15.16694,-16.04033
81.19327,-16.37578,-15.25849,-16.17097,-16.37578,-15.25849,-16.17097
81.60941,-16.49296,-15.36793,-16.30372,-16.49296,-15.36793,-16.30372
82.02402,-16.64094,-15.51801,-16.4776,-16.64094,-15.51801,-16.4776
82.44017,-16.84136,-15.70406,-16.70602,-16.84136,-15.70406,-16.70602
82.85724,-17.09332,-15.91399,-16.97134,-17.09332,-15.91399,-16.97134
83.27291,-17.39018,-16.18679,-17.28544,-17.39018,-16.18679,-17.28544
83.68933,-17.686,-16.52305,-17.67514,-17.686,-16.52305,-17.67514
84.10588,-18.02523,-16.85703,-18.03093,-18.02523,-16.85703,-18.03093
84.5223,-18.39495,-17.21095,-18.42046,-18.39495,-17.21095,-18.42046
84.9379,-18.73391,-17.57838,-18.82199,-18.73391,-17.57838,-18.82199
85.35458,-18.99487,-17.95082,-19.25625,-18.99487,-17.95082,-19.25625
85.77219,-19.27237,-18.28333,-19.60293,-19.27237,-18.28333,-19.60293
86.18961,-19.53056,-18.61215,-19.91452,-19.53056,-18.61215,-19.91452
86.60745,-19.76389,-18.89692,-20.26295,-19.76389,-18.89692,-20.26295
87.02548,-19.98931,-19.17439,-20.5493,-19.98931,-19.17439,-20.5493
87.44259,-20.15606,-19.43591,-20.79262,-20.15606,-19.43591,-20.79262
87.85929,-20.25747,-19.60888,-21.02706,-20.25747,-19.60888,-21.02706
88.27622,-20.36507,-19.76455,-21.25011,-20.36507,-19.76455,-21.25011
88.69156,-20.43682,-19.94548,-21.4084,-20.43682,-19.94548,-21.4084
89.10482,-20.46141,-20.09724,-21.56328,-20.46141,-20.09724,-21.56328
89.51997,-20.44918,-20.18078,-21.68995,-20.44918,-20.18078,-21.68995
89.93608,-20.39648,-20.2275,-21.79877,-20.39648,-20.2275,-21.79877
90.35279,-20.30963,-20.29095,-21.91165,-20.30963,-20.29095,-21.91165
90.772,-20.19476,-20.31716,-21.97891,-20.19476,-20.31716,-21.97891
91.19127,-20.06884,-20.29768,-21.98057,-20.06884,-20.29768,-21.98057
91.60874,-19.88803,-20.25344,-21.93398,-19.88803,-20.25344,-21.93398
92.02659,-19.65201,-20.1658,-21.87449,-19.65201,-20.1658,-21.87449
92.44336,-19.38083,-20.02273,-21.78558,-19.38083,-20.02273,-21.78558
92.85721,-19.01271,-19.87028,-21.65335,-19.01271,-19.87028,-21.65335
93.27251,-18.65951,-19.65282,-21.45352,-18.65951,-19.65282,-21.45352
93.6884,-18.32636,-19.46845,-21.22315,-18.32636,-19.46845,-21.22315
94.10392,-17.97737,-19.20677,-20.95826,-17.97737,-19.20677,-20.95826
94.52034,-17.66436,-18.91315,-20.68446,-17.66436,-18.91315,-20.68446
94.9392,-17.33212,-18.59678,-20.37137,-17.33212,-18.59678,-20.37137
95.35666,-16.96745,-18.27255,-20.02963,-16.96745,-18.27255,-20.02963
95.77293,-16.59667,-17.90934,-19.65878,-16.59667,-17.90934,-19.65878
96.19036,-16.26668,-17.52013,-19.29423,-16.26668,-17.52013,-19.29423
96.6077,-15.98726,-17.1729,-18.90696,-15.98726,-17.1729,-18.90696
97.02398,-15.66639,-16.87373,-18.49737,-15.66639,-16.87373,-18.49737
97.44083,-15.3637,-16.54759,-18.10495,-15.3637,-16.54759,-18.10495
97.8568,-15.05158,-16.22237,-17.71444,-15.05158,-16.22237,-17.71444
98.27392,-14.73831,-15.89767,-17.25745,-14.73831,-15.89767,-17.25745
